연도,key,산업용,산업용여름,주택용,주택용여름,일반용,일반용여름,제조업,제조업여름,인구,온열,여름온열,여름온열률10만
2023,서울특별시 강남구,279.8,62.6,1018.8,301.9,3437.7,937.9,11.5,2.9,544873.0,10,9,1.6517610525755542
2023,서울특별시 강동구,161.3,42.0,690.4,197.6,780.8,212.0,19.7,4.9,459167.0,7,6,1.3067141149080836
2023,서울특별시 강북구,52.1,13.3,421.8,117.3,424.5,114.1,31.5,7.9,288113.0,8,8,2.7766883132659754
2023,서울특별시 강서구,339.1,85.8,867.1,245.8,1548.5,420.3,47.1,12.8,563058.0,12,11,1.9536175669291618
2023,서울특별시 관악구,36.9,9.4,698.8,200.2,776.8,211.9,19.1,4.8,481956.0,12,12,2.4898538455792645
2023,서울특별시 광진구,356.6,97.2,515.6,150.5,642.3,178.5,28.2,7.1,335554.0,4,4,1.192058506231486
2023,서울특별시 구로구,326.0,82.7,637.2,179.8,909.7,252.8,88.6,22.4,392405.0,10,10,2.5483875078044367
2023,서울특별시 금천구,212.1,55.8,359.4,102.1,1106.2,305.2,200.4,52.7,227481.0,3,3,1.3187914595065082
2023,서울특별시 노원구,71.3,19.4,699.4,195.1,629.0,169.7,31.2,8.5,498213.0,9,9,1.8064562747258703
2023,서울특별시 도봉구,54.0,14.1,445.5,124.8,355.1,95.1,40.7,10.6,306948.0,16,16,5.212609301901299
2023,서울특별시 동대문구,163.5,43.1,569.1,160.1,644.4,173.6,68.7,17.9,341149.0,9,8,2.3450164004584506
2023,서울특별시 동작구,55.5,14.9,566.9,160.9,574.7,158.9,11.5,3.3,378769.0,5,5,1.3200657920790773
2023,서울특별시 마포구,169.7,53.5,637.4,185.0,1389.7,374.5,18.9,5.0,363697.0,6,1,0.27495415139525486
2023,서울특별시 서대문구,32.7,8.5,488.1,140.5,594.7,164.9,14.3,3.8,306231.0,4,4,1.3062034869102084
2023,서울특별시 서초구,430.4,115.4,748.8,220.5,2060.0,558.5,7.3,1.8,407664.0,1,1,0.24530005102241062
2023,서울특별시 성동구,885.1,233.3,468.1,131.6,796.7,216.5,203.2,52.8,277361.0,5,5,1.8027047782492853
2023,서울특별시 성북구,101.3,27.4,654.1,181.0,551.5,147.8,43.1,11.1,425602.0,3,3,0.7048839056207443
2023,서울특별시 송파구,214.5,57.1,1018.7,291.1,1613.2,451.6,34.7,9.4,654166.0,18,16,2.4458623652100537
2023,서울특별시 양천구,46.0,11.9,670.1,188.2,991.0,260.3,15.6,3.8,436028.0,1,1,0.22934306971111948
2023,서울특별시 영등포구,219.2,57.7,669.1,192.3,1810.0,504.4,96.2,25.1,374794.0,16,14,3.73538530499421
2023,서울특별시 용산구,104.3,27.6,442.5,129.7,958.9,265.3,15.6,4.0,213151.0,4,4,1.8766039099042464
2023,서울특별시 은평구,196.7,52.7,703.9,198.2,558.2,149.6,12.5,3.2,466770.0,20,18,3.856288964586413
2023,서울특별시 종로구,72.4,18.5,274.9,78.3,1247.7,344.1,65.7,16.8,139417.0,2,2,1.4345452850082845
