net,scene,date,지점,LST_30m,LST_100m,LST_500m,LST_1000m,NDVI_30m,NDVI_100m,NDVI_500m,NDVI_1000m
ASOS,LC09_L2SP_114035_20250709_20250711_02_T1,2025-07-09,281,,50.07194823200002,46.61294306490911,45.20038092318266,,0.38924308235479904,0.410633626530165,0.4561672415802439
ASOS,LC09_L2SP_114035_20250709_20250711_02_T1,2025-07-09,272,40.32056504000002,40.51535962742859,41.341012109344284,40.00398597537269,0.6067793871958147,0.6270877093594694,0.5977279509649439,0.6364469794833267
ASOS,LC09_L2SP_114035_20250709_20250711_02_T1,2025-07-09,288,50.15876594,49.948411223428586,47.657433248159826,48.2840111270099,0.35118856478494737,0.3747944576459554,0.38784695581293915,0.36757749809985096
ASOS,LC09_L2SP_114035_20250709_20250711_02_T1,2025-07-09,285,47.67158672000003,48.184419930285735,44.93246509887458,42.28725703714016,0.2937544650589812,0.34841178103119824,0.4028557597961806,0.5018301943918475
ASOS,LC09_L2SP_114035_20250709_20250711_02_T1,2025-07-09,278,49.223367800000005,48.93638433028574,43.95315844386942,44.374852381612925,0.3494966170644,0.3110442530902013,0.4902193042854701,0.4993983255258455
ASOS,LC09_L2SP_114035_20250709_20250711_02_T1,2025-07-09,279,48.128462060000004,47.983830985142866,44.76569809237116,43.424277241912414,0.4117057609939016,0.36632275331035863,0.4814886779536065,0.5393024487248302
ASOS,LC09_L2SP_114035_20250709_20250711_02_T1,2025-07-09,136,48.712943480000035,48.93699469100003,47.24456626480654,46.250368556207775,0.442272874900095,0.2907864976169271,0.4385026391340043,0.47909222221100733
ASOS,LC09_L2SP_114035_20250709_20250711_02_T1,2025-07-09,143,47.318391320000025,46.83078635257145,47.26560134638486,47.502013674563436,0.3712454204433011,0.38274454001744246,0.4049673555999636,0.373559876579559
ASOS,LC09_L2SP_114035_20250709_20250711_02_T1,2025-07-09,271,44.12026394000001,43.74206816514288,40.491864441470995,38.24574471399489,0.6417381472819074,0.5214780692532277,0.6036717772746736,0.6714309809329917
ASOS,LC09_L2SP_114035_20250709_20250711_02_T1,2025-07-09,276,43.985821820000034,43.170575221142876,40.790193250093694,40.006188769376465,0.44332801293393936,0.5868892395300893,0.6311128828791999,0.6307381959434999
AWS,LC09_L2SP_114035_20250709_20250711_02_T1,2025-07-09,919,,,,41.91892456356415,,,,0.5229980507454804
AWS,LC09_L2SP_114035_20250709_20250711_02_T1,2025-07-09,928,46.46502566,46.500703278285734,45.04670788556703,42.107443953214194,0.21707013106837947,0.2744601553732017,0.37578211500645065,0.5156681350199058
AWS,LC09_L2SP_114035_20250709_20250711_02_T1,2025-07-09,820,42.017042300000014,40.85022792971429,39.05327184924733,38.42743467565833,0.4513176267830576,0.5714490506587457,0.6890656319196122,0.7159029287008499
