scene,date,path,row,지점,LST_30m,LST_100m,LST_500m,LST_1000m,지점명,Tavg,Tmax,Tmin,net,scene_id
LC08_L2SP_114035_20240831_20240906_02_T1,2024-08-31,114,035,285,45.111489740000025,45.642877916000025,41.80277774506026,39.54840166019177,합천,27.0,34.3,20.3,ASOS,LC08_L2SP_114035_20240831_20240906_02_T1
LC08_L2SP_114035_20240831_20240906_02_T1,2024-08-31,114,035,288,43.33639802000001,43.226142460571445,40.91259818649822,41.427189268049005,밀양,27.8,34.3,21.7,ASOS,LC08_L2SP_114035_20240831_20240906_02_T1
LC08_L2SP_114035_20240831_20240906_02_T1,2024-08-31,114,035,136,44.38573015999998,44.75350911200001,42.81367068435846,41.57068918287719,안동,26.1,33.1,20.9,ASOS,LC08_L2SP_114035_20240831_20240906_02_T1
LC08_L2SP_114035_20240831_20240906_02_T1,2024-08-31,114,035,253,38.441793380000036,39.26123926057144,43.647336043298985,42.90120670334672,김해시,27.7,34.3,23.9,ASOS,LC08_L2SP_114035_20240831_20240906_02_T1
LC08_L2SP_114035_20240831_20240906_02_T1,2024-08-31,114,035,257,40.27499144000001,40.412916685142875,42.30668675129792,42.83692550846452,양산시,27.8,34.7,22.5,ASOS,LC08_L2SP_114035_20240831_20240906_02_T1
LC08_L2SP_114035_20240831_20240906_02_T1,2024-08-31,114,035,152,38.41900658000001,38.650780888571454,36.76218696556703,36.371896888291765,울산,25.5,30.1,22.1,ASOS,LC08_L2SP_114035_20240831_20240906_02_T1
LC08_L2SP_114035_20240831_20240906_02_T1,2024-08-31,114,035,143,42.74735924,42.690392240000016,43.659870637894755,44.12078829790267,대구,27.6,33.3,24.3,ASOS,LC08_L2SP_114035_20240831_20240906_02_T1
LC08_L2SP_114035_20240831_20240906_02_T1,2024-08-31,114,035,271,36.473013860000016,36.656172586896574,37.25939110010473,,봉화,23.6,30.6,18.8,ASOS,LC08_L2SP_114035_20240831_20240906_02_T1
LC08_L2SP_114035_20240831_20240906_02_T1,2024-08-31,114,035,276,38.41330988000001,37.87137467085716,35.942795013678044,34.70540726496285,청송군,24.4,32.5,19.6,ASOS,LC08_L2SP_114035_20240831_20240906_02_T1
LC08_L2SP_114035_20250802_20250808_02_T1,2025-08-02,114,035,138,49.35894926000003,50.224684897142865,49.797476857923336,50.02121517691907,포항,29.7,34.2,25.4,ASOS,LC08_L2SP_114035_20250802_20250808_02_T1
