"행정구역(동읍면)별","5세별","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년","2025 년",
"성동구","50 - 54세","여자인구수[명]","명","12023","12362","12142","11867","11374","10989",
"성동구","55 - 59세","남자인구수[명]","명","11686","11054","10504","10563","10534","10716",
"성동구","55 - 59세","여자인구수[명]","명","11643","10946","10631","10712","10784","10864",
"성동구","60 - 64세","남자인구수[명]","명","10757","10910","10829","10594","10339","9952",
"성동구","60 - 64세","여자인구수[명]","명","10884","10976","10941","10745","10412","10159",
"성동구","65 - 69세","남자인구수[명]","명","7052","7548","7848","8289","8568","8925",
"성동구","65 - 69세","여자인구수[명]","명","7841","8334","8636","8950","9299","9539",
"성동구","70 - 74세","남자인구수[명]","명","5225","5119","5134","5246","5456","5843",
"성동구","70 - 74세","여자인구수[명]","명","6308","6037","6038","6104","6289","6820",
"성동구","75 - 79세","남자인구수[명]","명","3945","3832","3821","3880","4014","4188",
"성동구","75 - 79세","여자인구수[명]","명","5108","5123","5080","5177","5334","5432",
"성동구","80 - 84세","남자인구수[명]","명","2297","2415","2718","2795","2864","2862",
"성동구","80 - 84세","여자인구수[명]","명","3574","3660","3919","4097","4137","4129",
"성동구","85 - 89세","남자인구수[명]","명","888","1004","1055","1181","1252","1351",
"성동구","85 - 89세","여자인구수[명]","명","1761","1923","2072","2244","2382","2537",
"성동구","90 - 94세","남자인구수[명]","명","256","250","264","282","316","369",
"성동구","90 - 94세","여자인구수[명]","명","677","713","699","754","840","928",
"성동구","95 - 99세","남자인구수[명]","명","75","49","49","51","60","57",
"성동구","95 - 99세","여자인구수[명]","명","177","146","152","166","185","223",
"성동구","100+","남자인구수[명]","명","72","14","13","14","12","5",
"성동구","100+","여자인구수[명]","명","179","34","32","30","22","24",
"광진구","0 - 4세","남자인구수[명]","명","4268","3774","3467","3182","2962","3007",
"광진구","0 - 4세","여자인구수[명]","명","4083","3564","3297","3108","2873","2868",
"광진구","5 - 9세","남자인구수[명]","명","5709","5342","4999","4606","4241","3903",
"광진구","5 - 9세","여자인구수[명]","명","5512","5064","4684","4312","4022","3730",
"광진구","10 - 14세","남자인구수[명]","명","6297","6045","5913","5755","5614","5491",
"광진구","10 - 14세","여자인구수[명]","명","5940","5822","5598","5498","5301","5259",
"광진구","15 - 19세","남자인구수[명]","명","6922","6523","6440","6247","5997","6070",
"광진구","15 - 19세","여자인구수[명]","명","6772","6384","6518","6304","6074","6037",
"광진구","20 - 24세","남자인구수[명]","명","11935","11274","10939","10468","9806","9021",
"광진구","20 - 24세","여자인구수[명]","명","14258","13662","13051","12393","11953","11084",
"광진구","25 - 29세","남자인구수[명]","명","17586","17570","17132","16829","16459","16016",
