시군구,발생,사망,중증,고령,작업장,중증률,n
충청북도 단양군,28,1,3,0.4642857142857143,0.2857142857142857,10.714285714285714,28
충청북도 보은군,35,1,3,0.42857142857142855,0.22857142857142856,8.571428571428571,35
충청북도 영동군,26,0,1,0.38461538461538464,0.2692307692307692,3.8461538461538463,26
충청북도 옥천군,46,0,1,0.4782608695652174,0.34782608695652173,2.1739130434782608,46
충청북도 음성군,60,0,5,0.23333333333333334,0.4666666666666667,8.333333333333332,60
충청북도 제천시,74,2,6,0.2972972972972973,0.35135135135135137,8.108108108108109,74
충청북도 증평군,19,0,3,0.47368421052631576,0.2631578947368421,15.789473684210526,19
충청북도 진천군,64,0,6,0.234375,0.578125,9.375,64
충청북도 청주시 상당구,93,0,2,0.27956989247311825,0.3870967741935484,2.1505376344086025,93
충청북도 청주시 서원구,50,0,0,0.28,0.46,0.0,50
충청북도 청주시 청원구,40,1,1,0.375,0.45,2.5,40
충청북도 청주시 흥덕구,110,2,5,0.23636363636363636,0.5181818181818182,4.545454545454546,110
충청북도 충주시,44,1,8,0.4090909090909091,0.22727272727272727,18.181818181818183,44
