연도,key,산업용,산업용여름,주택용,주택용여름,일반용,일반용여름,제조업,제조업여름
2024,서울특별시 중구,203.1,52.4,238.4,70.5,1850.4,527.1,183.1,47.2
2024,서울특별시 중랑구,65.5,16.7,591.0,167.5,502.6,136.1,49.6,12.6
2024,세종특별자치시 세종시,2135.8,550.9,719.0,185.7,1014.1,274.5,1880.3,485.4
2024,울산광역시 남구,13768.6,3540.4,522.4,147.0,908.3,241.4,12795.1,3297.1
2024,울산광역시 동구,1107.7,295.1,241.0,63.8,241.2,65.0,1073.2,286.1
2024,울산광역시 북구,1713.4,461.5,354.8,98.2,374.3,103.2,1654.7,445.9
2024,울산광역시 울주군,10630.7,2729.6,363.3,98.6,526.9,139.1,10090.2,2544.7
2024,울산광역시 중구,29.9,8.0,343.5,94.6,343.7,95.3,10.8,2.9
2024,인천광역시 강화군,114.7,27.9,98.3,24.6,215.0,50.7,95.9,23.2
2024,인천광역시 계양구,398.3,102.4,442.6,124.3,457.7,123.5,277.0,70.7
2024,인천광역시 남동구,1977.6,491.5,836.1,231.1,1000.8,273.2,1848.2,457.4
2024,인천광역시 동구,2624.5,633.1,96.5,27.2,111.2,28.3,2583.3,622.8
2024,인천광역시 미추홀구,392.8,98.9,720.7,200.6,694.4,184.4,305.1,76.2
2024,인천광역시 부평구,676.4,168.1,841.9,235.4,835.9,227.7,591.1,145.1
2024,인천광역시 서구,3708.0,923.8,1153.8,328.1,1474.3,391.7,3255.8,817.7
2024,인천광역시 연수구,1468.2,398.0,819.3,239.4,960.8,272.5,982.1,276.3
2024,인천광역시 옹진군,61.4,12.4,29.7,7.6,128.1,30.5,35.3,7.4
2024,인천광역시 중구,942.5,247.8,318.3,88.7,1492.4,412.5,789.3,207.6
2024,전라남도 강진군,66.5,16.0,48.1,12.4,75.7,18.9,31.9,8.2
2024,전라남도 고흥군,83.0,21.1,96.1,24.6,125.2,31.5,46.5,11.3
2024,전라남도 곡성군,227.0,60.7,36.2,8.9,55.8,13.6,221.2,59.4
2024,전라남도 광양시,3078.4,671.8,261.6,74.8,324.4,87.3,2946.2,640.8
2024,전라남도 구례군,30.6,8.4,34.4,8.5,66.0,16.1,12.5,3.5
2024,전라남도 나주시,489.1,129.9,204.0,56.6,340.3,92.2,440.6,117.3
2024,전라남도 담양군,217.6,55.1,57.2,14.2,129.7,33.3,197.8,50.1
2024,전라남도 목포시,136.5,32.0,379.3,103.0,540.9,142.8,89.5,19.9
2024,전라남도 무안군,104.1,26.3,159.9,46.3,239.5,61.4,56.9,14.4
2024,전라남도 보성군,51.9,12.7,54.7,13.8,88.9,21.8,40.6,9.8
2024,전라남도 순천시,1050.0,275.2,470.5,126.4,599.3,162.1,879.3,229.6
2024,전라남도 신안군,32.3,8.7,42.2,10.2,91.8,22.0,20.6,5.6
2024,전라남도 여수시,13610.4,3472.1,456.4,125.5,744.9,197.8,13068.7,3335.4
2024,전라남도 영광군,346.5,98.1,75.8,19.4,116.2,28.6,81.5,20.3
2024,전라남도 영암군,824.0,216.7,88.5,23.3,140.8,35.6,802.9,211.3
